DATE,Incubator,Start Date,End Date,Tank Name,Male,Female,Spawn Type,Time Found,Cleavage,Day of Cycle,Total # of tanks,Notes
02-13-2020,YELLOW,08-19-2019,NA,Y_PLF3_PLF3_PLF3_081919,NA,PLF3,eggs,10:05,,9,10,
02-14-2020,YELLOW,12-04-2019,05-18-20,Y_PLF3x3_120419,NA,PLF3,eggs,10:00,,10,10,
02-18-2020,GREEN,02-12-2020,09-15-2020,G_CC7x4_021220,CC7,NA,sperm,10:21,,23,10,
02-18-2020,GREEN,02-12-2020,09-15-2020,G_CC7_CC7_021220,CC7,NA,sperm,10:21,,23,10,
02-18-2020,ORANGE,02-12-2020,NA,O_H2_H2_H2_H2_021220,NA,H2,eggs,10:21,,1,14,
02-18-2020,Red (New),12-11-2019,04-20-2020,R_CC7_CC7_CC7_121119,CC7,NA,sperm,16:45,,8,14,
02-18-2020,Red (New),01-08-2020,NA,R_CC7_CC7_CC7_010820,CC7,NA,sperm,16:45,,8,14,
02-18-2020,Red (New),01-08-2020,07-13-2020,R_CC7x3_010820,CC7,NA,sperm,16:45,,8,14,
02-18-2020,Red (New),08-21-2019,07-20-20,R_CC7_CC7_CC7_082119,CC7,NA,sperm,16:45,,8,14,
02-18-2020,Red (New),12-11-2019,NA,R_CC7x4_121119,CC7,NA,sperm,16:45,,8,14,
02-18-2020,Red (New),02-07-2020,NA,R_CC7_CC7_CC7_020720,CC7,NA,sperm,16:45,,8,14,
02-19-2020,Red (New),01-08-2020,NA,R_CC7_CC7_CC7_010820,CC7,NA,sperm,9:30,,9,14,
02-19-2020,Red (New),01-08-2020,07-13-2020,R_CC7x3_010820,CC7,NA,sperm,9:30,,9,14,
02-19-2020,Red (New),08-21-2019,07-20-20,R_CC7_CC7_CC7_082119,CC7,NA,sperm,9:30,,9,14,
02-19-2020,Red (New),12-11-2019,NA,R_CC7x4_121119,CC7,NA,sperm,9:30,,9,14,
02-19-2020,Red (New),02-07-2020,NA,R_CC7_CC7_CC7_020720,CC7,NA,sperm,9:30,,9,14,
02-19-2020,YELLOW,08-19-2019,NA,Y_PLF3_PLF3_PLF3_081919,NA,PLF3,eggs,10:14,,15,10,
02-21-2020,Red (New),02-11-2019,NA,R_CC7_CC7_CC7_021119,CC7,NA,sperm,10:05,,11,14,
02-24-2020,Red (New),01-08-2020,NA,R_PLF5_PLF5_010820,NA,PLF5,eggs,10:00,,14,14,
02-26-2020,ORANGE,02-12-2020,04-20-2020,O_H2x3_021220,NA,H2,eggs,9:30,,9,14,
02-26-2020,ORANGE,10-23-2020,NA,O_PLF3_PLF3_PLF3_102319,NA,PLF3,eggs,9:50,,9,14,
